WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
1,PCOALSA,World,"Coal, South African export price, US$ per metric tonne",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.875,31.5,28.833,26.958,28.563,35.229,33.518,31.349,26.839,24.273,26.57,33.864,26.011,30.076,54.684,45.953,50.583,62.315,120.741,64.559,91.658,116.173,92.924,80.324,72.303,57.097,64.419,84.486,97.925,71.265,72.069,70.35,
1,PFANDBW,World,Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,,"Index, 2016=100",,,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,62.381,62.697,68.39,70.349,74.781,71.004,67.752,58.931,58.102,57.902,61.293,66.909,73.318,75.154,81.328,92.738,109.245,92.698,105.403,125.442,119.813,118.315,118.018,98.903,100,103.133,101.334,98.147,96.893,97.474,
1,PFOODW,World,"Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,63.954,63.942,66.725,68.659,75.141,69.753,66.943,58.789,59.028,59.602,62.708,68.502,75.374,76.309,82.418,93.92,110.416,92.869,105.393,124.971,120.873,120.489,118.594,98.538,100,103.796,102.505,99.328,97.509,97.928,
1,PCEREW,World,"Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",,"Index, 2016=100",,,101.64,105.832,87.122,91.806,89.758,76.988,63.972,62.578,82.592,91.24,80.11,78.675,83.309,77.857,83.156,98.973,115.516,88.621,74.46,64.201,62.607,64.665,76.283,77.242,80.838,78.332,96.999,129.172,178.045,126.28,130.977,182.887,186.788,170.487,140.838,115.004,100,100.982,114.881,109.881,113.562,113.558,
1,PWHEAMT,World,"Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne",,U.S. dollars,Units,,172.726,174.961,160.355,157.416,152.333,135.829,114.916,112.895,145.199,169.243,135.523,128.658,151.161,140.212,149.783,176.96,197.229,149.513,114.465,98.261,100.739,106.373,132.167,131.919,134.391,129.674,169.139,231.185,292.967,192.107,195.23,280.282,276.33,265.686,242.899,185.866,143.201,145.294,186.129,163.258,177.546,177.699,
1,PMAIZMT,World,"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne",,U.S. dollars,Units,,125.716,130.604,108.099,135.984,135.82,112.331,87.791,75.521,106.95,111.368,109.28,107.473,104.213,102.04,107.778,123.451,164.523,117.172,101.618,90.294,88.219,89.609,99.333,105.245,111.895,98.508,121.647,163.61,223.36,165.628,185.957,291.854,298.438,258.979,192.939,169.845,159.221,154.595,164.511,170.169,162.513,171.264,
1,PRICENPQ,World,"Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne",,U.S. dollars,Units,,433.667,482.833,293.375,276.833,252.25,217.417,195.667,214.417,277.25,299.75,270.667,293.667,267.667,237.25,269.458,320.801,338.064,302.469,305.424,248.968,203.695,172.705,191.826,199.461,245.783,287.811,303.515,332.393,700.2,589.376,520.494,551.711,580.236,519.308,426.475,380.047,388.265,399.075,403.082,396.514,435.224,402.59,
1,PBARL,World,"Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne",,U.S. dollars,Units,,78.229,79.726,63.712,70.891,78.723,58.816,47.56,55.001,70.333,75.139,79.926,78.287,78.675,71.377,72.649,104.012,119.665,97.237,85.054,75.937,77.235,93.936,108.967,104.718,98.989,95.077,116.615,172.381,200.476,128.381,158.374,207.219,238.583,200.833,132.501,100.278,97.809,101.66,104.36,110.435,105.047,101.185,
1,PVOILW,World,"Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",,"Index, 2016=100",,,69.429,66.63,55.874,64.365,74.5,58.071,45.907,49.356,68.208,60.59,55.235,54.87,56.03,60.074,67.754,71.56,76.786,75.876,70.821,52.765,47.951,46.508,55.776,67.123,77.926,72.695,72.695,97.095,135.146,102.638,113.263,142.574,143.143,132.139,118.861,95.706,100,101.16,95.446,90.543,90.306,88.624,
1,PSOYB,World,"Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne",,U.S. dollars,Units,,265.316,261.404,221.29,259.616,257.505,202.979,188.948,195.506,279.724,246.986,219.1,208.779,209.803,230.138,229.51,224.015,277.458,280.603,223.29,174.919,183.052,168.755,188.866,233.187,276.633,223.15,217.454,317.32,452.943,378.546,384.945,484.246,537.762,517.204,457.814,347.356,362.707,358.824,342.528,327.002,324.579,318.79,
